line,status,identifier,aircon,display_eligible,reason
532,success,65225,0,0,
533,success,74480,0,0,
534,success,330829,0,0,
535,success,339937,0,0,
536,success,338762,0,0,
537,success,356829,0,0,
538,success,354787,0,0,
539,success,330828,0,0,
540,success,255623,0,0,
541,success,224396,0,0,
542,success,320458,0,0,
543,success,283617,0,0,
544,success,325300,0,0,
545,success,292705,0,0,
546,success,335299,0,0,
547,success,235873,0,0,
548,success,316209,0,0,
549,success,216199,0,0,
550,success,344529,0,0,
551,success,253487,0,0,
552,success,276986,0,0,
553,success,229495,0,0,
554,success,344530,0,0,
555,success,284392,0,0,
556,success,284334,0,0,
557,success,304877,0,0,
558,success,283055,0,0,
559,success,330830,0,0,
560,success,340604,0,0,
561,success,330519,0,0,
562,success,217362,0,0,
563,success,328659,0,0,
564,success,356830,0,0,
565,success,327197,0,0,
566,success,194514,0,0,
567,success,203066,0,0,
568,success,344841,0,0,
569,success,325299,0,0,
570,success,344842,0,0,
571,success,340442,0,0,
572,success,231180,0,0,
573,success,88012,0,0,
574,success,229537,0,0,
575,success,68568,0,0,
576,success,287893,0,0,
577,success,235870,0,0,
578,success,342657,0,0,
579,success,283056,0,0,
580,success,231177,0,0,
581,success,342460,0,0,
582,success,236210,0,0,
583,success,327194,0,0,
584,success,204621,0,0,
585,success,221964,0,0,
586,success,217368,0,0,
587,success,65228,0,0,
588,success,236513,0,0,
589,success,361431,0,0,
590,success,367353,0,0,
591,success,77519,0,0,
592,success,361432,0,0,
593,success,366099,0,0,
594,success,368539,0,0,
595,success,357996,0,0,
596,success,365854,0,0,
597,success,66046,0,0,
598,success,357999,0,0,
599,success,311213,0,0,
600,success,361471,0,0,
601,success,365853,0,0,
602,success,197798,0,0,
603,success,367352,0,0,
604,success,368140,0,0,
605,success,291493,0,0,
606,success,287385,0,0,
607,success,357919,0,0,
608,success,71646,0,0,
609,success,358000,0,0,
610,success,366888,0,0,
611,success,225715,0,0,
612,success,66047,0,0,
613,success,306418,0,0,
614,success,367009,0,0,
615,success,361324,0,0,
616,success,336130,0,0,
617,success,369126,0,0,
618,success,287389,0,0,
619,success,240398,0,0,
620,success,358001,0,0,
621,success,339485,0,0,
622,success,287388,0,0,
623,success,66023,0,0,
624,success,358231,0,0,
625,success,366902,0,0,
626,success,366901,0,0,
627,success,366098,0,0,
628,success,366903,0,0,
629,success,114842,0,0,
630,success,196758,0,0,
631,success,230381,0,0,
632,success,230377,0,0,
633,success,339487,0,0,
634,success,227507,0,0,
635,success,203898,0,0,
636,success,291491,0,0,
637,success,204361,0,0,
638,success,367008,0,0,
639,success,287386,0,0,
640,success,369125,0,0,
641,success,369127,0,0,
642,success,357921,0,0,
643,success,287387,0,0,
644,success,344826,0,0,
645,success,332615,0,0,
646,success,291490,0,0,
647,success,368533,0,0,
648,success,369168,0,0,
649,success,368532,0,0,
650,success,367350,0,0,
651,success,368511,0,0,
652,success,369167,0,0,
653,success,367815,0,0,
654,success,368536,0,0,
655,success,366707,0,0,
656,success,368535,0,0,
657,success,364828,0,0,
658,success,338114,0,0,
659,success,358438,0,0,
660,success,361691,0,0,
661,success,360203,0,0,
662,success,366537,0,0,
663,success,334154,0,0,
664,success,364818,0,0,
665,success,339929,0,0,
666,success,333239,0,0,
667,success,333232,0,0,
668,success,360133,0,0,
669,success,362411,0,0,
670,success,333235,0,0,
671,success,333234,0,0,
672,success,364825,0,0,
673,success,357574,0,0,
674,success,344631,0,0,
675,success,363387,0,0,
676,success,357575,0,0,
677,success,364829,0,0,
678,success,333238,0,0,
679,success,364838,0,0,
680,success,334310,0,0,
681,success,333240,0,0,
682,success,362412,0,0,
683,success,361968,0,0,
684,success,359076,0,0,
685,success,358400,0,0,
686,success,342423,0,0,
687,success,334729,0,0,
688,success,359503,0,0,
689,success,338198,0,0,
690,success,362413,0,0,
691,success,361969,0,0,
692,success,364822,0,0,
693,success,364823,0,0,
694,success,339927,0,0,
695,success,360232,0,0,
696,success,361696,0,0,
697,success,364837,0,0,
698,success,357610,0,0,
699,success,364830,0,0,
700,success,344852,0,0,
701,success,364834,0,0,
702,success,357573,0,0,
703,success,364836,0,0,
704,success,364840,0,0,
705,success,362046,0,0,
706,success,366535,0,0,
707,success,337864,0,0,
708,success,362045,0,0,
709,success,359084,0,0,
